title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Buster Keaton The Shorts Collection 1917-1923,2016-07-17,en,Buster Keaton The Shorts Collection 1917-1923,"Includes all 32 of Keaton's extant silent shorts (thirteen of which were produced under the tutelage of comedian Roscoe ""Fatty"" Arbuckle) These 2K restorations onto Blu-Ray promise to be the definitive representation of Keaton's early career.",32 Buston Keaton early shorts,Comedy,english,silent comedy
The Stratton Story,1949-05-12,en,The Stratton Story,"Star major league pitcher Monty Stratton loses a leg in a hunting accident, but becomes determined to leave the game on his own terms.","James Stewart - June Allyson, In The True Romance of The Year","Drama, Romance",english,"sports, baseball, chicago white sox, amputate"
Devil's Playground,2010-08-21,en,Devil's Playground,"As the world succumbs to a zombie apocalypse, Cole - a hardened mercenary - is chasing the one person who can provide a cure. Not only to the plague but to Cole's own incumbent destiny.",The fight for survival has begun..,"Horror, Action",english,"mercenary, zombie apocalypse"
South of Tahiti,1941-10-17,en,South of Tahiti,"Three men survive a plane crashes on an uncharted Pacific island, south of Tahiti. One falls in love with the the daughter of the tribe's leader, heiress to the throne after the death of her brother, who is as savage as her pet leopard. The others try to devise a plan to rob the tribe's gold.",DARING DAYS! EXOTIC NIGHTS! in a forbidden Pagan Paradise!,"Action, Adventure",english,"island, leopard, romance, airplane crash, gold theft, south sea island"
Last Letters Home,2004-11-11,en,Last Letters Home,Ten families read letters from their loved ones killed during Operation Iraqi Freedom in this powerful and moving HBO documentary by Oscar and Emmy Award-winning filmmaker Bill Couturie (Dear America: Letters Home from Vietnam). Photos of the soldiers in military and civilian life are shown as family members read the final correspondence received from Iraq and share their thoughts and memories about the fallen troops and the realities of war.,"They gave their lives, we honor their words.","Documentary, War, History",english,"letter, interview, iraq, iraq war, correspondence"
Religulous,2008-10-01,en,Religulous,"Commentator-comic Bill Maher plays devil's advocate with religion as he talks to believers about their faith. Traveling around the world, Maher examines the tenets of Christianity, Judaism and Islam and raises questions about homosexuality, proof of Christ's existence, Jewish Sabbath laws, violent Muslim extremists.",Heaven help us.,"Documentary, Comedy","english, arabic, hebrew, spanish, persian","muslim, faith, museum, rabbi, interview, atheist, chapel, religion, catholic, evolution, truck driver, mormon, skeptic, atheism, creationism, aftercreditsstinger"
Young Eagles,1930-03-20,en,Young Eagles,"Lieut. Robert Banks, an American aviator on leave in Paris, meets Mary Gordon, a young American who lives abroad, but their romance is cut short by his return to the front. In an air battle, Robert brings down and captures the Grey Eagle, Baden, and takes him to American Intelligence in Paris. Mary, ostensibly a spy for the Germans, drugs Robert, who awakens to find that his uniform has been stolen by Baden. Later, in an exciting air conflict, Baden is wounded but shoots down Robert's plane. The German rescues him, however, and takes him to an Allied hospital, assuring him of Mary's love; his faith in her is restored when he learns that she is actually a spy for U. S. Intelligence.",Here's Spectacle! Breath-Taking Action in the Clouds! And a Gripping Romance in Glamorous France!,Drama,english,"paris, france, world war i, aviation"
Bunnyman,2011-06-20,en,Bunnyman,"Bunnyman is the story of a group of friends on their way back from a spontaneous weekend trip to Las Vegas, and while driving through the remote regions of southern California they suddenly find themselves in a sickening game of cat and mouse with a five ton dumptruck and, when looking for help, stumble upon a nightmarish family who takes pleasure in dismembering and eating as many of the kids as possible.",Pretty girls die young,Horror,english,"snuff, bound and gagged"
The Red Shoes,1948-09-06,en,The Red Shoes,"In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.","Dance she did, and dance she must - between her two loves","Drama, Romance","russian, english, french","dance, new love, london, england, dance performance, composer, ballet dancer, ballet, red shoes"
Here Comes Trouble,1948-03-15,en,Here Comes Trouble,A blundering rookie reporter runs into some unexpected difficulty when he is assigned to cover the police beat.,Laughs that are longer!,Comedy,english,newspaper man
The Cabin in the Woods,2012-04-12,en,The Cabin in the Woods,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",You think you know the story.,"Horror, Fantasy","english, japanese","giant snake, school party, motorcycle crash, abandoned house, woods, marijuana, cabin, apocalypse, zombie, werewolf, creature, cabin in the woods, video wall, speaker phone, young adult, college student"
I Love You. Shhh. You Don't Have To Say Anything.,2024-05-09,en,I Love You. Shhh. You Don't Have To Say Anything.,"Scarlett attracts the attention of her unusual classmate Marcus. Scarlett's relationship with her boyfriend, Johnny, sours when Marcus won't leave her alone.",Shhh.,"Thriller, Horror",English,"stalker, silent film, neo-noir, short film, indie horror, silent horror, period piece, 60s, female lead, ilysydhtsa, ruma pictures"
Urban Country,2018-08-03,en,Urban Country,"A young, troubled city girl decides to move to her family owned horse ranch in a small, southern town for the summer to care for her dying mother.",Faith will find a way.,"Comedy, Drama, Family",english,"coming of age, horse ranch"
The Fiercest Heart,1961-04-30,en,The Fiercest Heart,"Two British soldiers in 1830s South Africa flee military discipline and join a group of Boers heading north on ""the Great Trek."" In between fighting off Zulu attacks, one of these soldiers falls in love with the trek-leader's granddaughter who has been promised to another man.",These were the trail blazers... Who dared to penetrate the core of trackless Africa!,Adventure,english,"africa, desertion, fistfight, caravan, soldier, zulu"
Project Eerie,2023-09-03,en,Project Eerie,"On Halloween, 2020, Jesse and Jacob Warner disappeared while live streaming on social media. This is that live stream.","This Halloween, the veil between worlds is thinner than ever...",Horror,english,found footage
Threesome,1984-09-14,en,Threesome,"A New York stockbroker introduces a girlfriend to his buddy from out of town, then regrets it.",There are some things even best friends won't share.,"Drama, TV Movie, Romance",english,"friendship, love triangle"
Catch That Girl,2002-01-25,da,Klatretøsen,"Ida's father suddenly gets a stroke and is rushed to the hospital, diagnosed with a deadly disease with no other opportunity than to travel to USA to attend a medical experimental operation. Unfortunately, the small family have to get the money themselves, as the state doesn't pay for that kind of experimental procedures. Ida has to get the money - and she got no other way than to steal them from the bank where her mother works...... developing the banks intense security.",One hell of a bank job,"Action, Family, Adventure, Crime","english, danish","denmark, first love, bank job"
The Joy Luck Club,1993-09-08,en,The Joy Luck Club,"Through a series of flashbacks, four Chinese women born in America and their respective mothers born in feudal China explore their pasts.",Between every mother and daughter there is a story that must be told.,Drama,"cantonese, mandarin, french, english","based on novel or book, chinese, family, chinese american, mother daughter relationship"
Armored Car,1937-06-01,en,Armored Car,"Larry Willis and Bill Wane are security guards who ride in the back of Banks Co. armored trucks. When they barely avoid a robbery, they return to headquarters, where their boss John Hale introduces them to detective Tom Sheridan, who will be working with them to uncover a new gang of robbers.",BULLET-SMASHING DRAMA with Miss America's newest screen romance date!,"Crime, Drama",english,"armored car, security guard"
TS Blondes Have More Fun,2016-02-16,en,TS Blondes Have More Fun,"When beautiful blonde besties Laura and Marilyn set their sights on football stars Troy and Tommy, the two gorgeous TS sex queens will stop at nothing to seduce the hunky, well-hung studs.",They were two blondes on a mission - to have the best sex of their lives,Romance,english,"anal sex, transsexual"
The Yakuza,1974-12-21,en,The Yakuza,"Harry Kilmer returns to Japan after several years in order to rescue his friend George's kidnapped daughter - and ends up on the wrong side of the Yakuza, the notorious Japanese mafia.",A man never forgets. A man pays his debts.,"Crime, Drama","english, japanese","japan, yakuza, mafia"
